characteristic,actual_value
unique_labelled_frames,47229
physical_labelled_image_instances,47238
metadata_annotation_rows_clean,47239
multi_class_frames,9
multi_annotation_same_class_frames,1
unique_labelled_video_frames,47229
unique_metadata_frames,47229
physical_files_total,47371
physical_non_image_files,133
metadata_annotation_rows_raw,47248
duplicate_annotation_groups,9
duplicate_annotation_rows_in_groups,18
duplicate_annotation_rows_removed,9
multi_annotation_same_class_pairs,1
exactly_two_annotations_same_class_frames,1
unique_metadata_frame_class_pairs,47238
extra_class_memberships,9
extra_annotations_same_class,1
finding_classes,14
labelled_videos,43
